user_id,book_id
15,275
113,6756
207,25
506,2695
416,4092
506,241
530,70
542,937
504,219
557,6640
564,937
513,1255
590,2577
590,25
590,68
590,3
656,25
212,62
688,187
756,621
751,9438
779,25
793,1968
1074,577
1007,958
791,77
791,5500
653,8893
934,793
793,817
869,937
1276,27
1276,53
1102,3613
746,62
746,368
1474,5221
1526,937
1547,234
1547,707
1582,282
1582,369
1147,25
1582,6813
1666,1279
1488,8153
1450,25
1450,27
1763,2540
1723,3904
1723,561
1723,9308
627,223
627,918
627,1137
1937,120
1047,68
1926,68
1942,480
1926,25
1953,2
1740,1286
1890,3613
318,62
318,1061
2080,68
1357,1155
1357,747
2407,275
2366,53
1942,1957
2477,368
605,300
2502,219
2478,47
1497,62
2361,5474
1903,3919
2476,219
2481,2148
2337,747
2337,1163
2593,25
2322,219
2292,347
2292,641
2292,292
2292,602
2292,542
1903,3943
2713,321
2732,586
2732,6733
2732,1087
1903,147
1903,8298
1903,8088
1903,52
1903,1944
1903,369
1903,4145
2732,2540
2769,368
2397,591
2438,62
2955,3739
1876,4351
1876,1678
1876,6972
1876,6813
2965,2
2965,27
2965,24
2965,21
2965,18
2965,23
2965,25
2951,47
2820,219
2927,4476
3028,2
3028,23
3028,25
3028,27
3028,24
3028,18
3028,21
1845,6582
1845,1957
759,133
3087,1465
3076,3613
1274,6813
1890,62
2701,9461
2859,1957
1903,5436
3175,219
3168,47
462,4577
1235,234
3190,793
3158,3547
3231,52
2296,62
2824,1391
3277,480
1124,5474
3296,8389
3023,62
3023,368
3023,480
3363,117
3363,561
3321,369
2652,4092
3384,5045
3384,25
3384,27
3384,21
918,561
1315,5474
3321,7023
3126,27
3470,1163
2019,1465
3474,480
3474,368
3474,62
1796,3063
476,591
3581,5632
2240,2
2240,18
2240,24
2240,21
2240,23
3296,386
2399,1155
2399,1298
2399,1554
3629,480
3458,6658
3458,7797
648,62
3636,3063
2517,561
3615,937
2752,90
3695,245
3711,62
3692,5221
1649,591
1649,8389
3747,219
3094,62
3763,53
2112,47
2365,368
2931,8832
2952,3
2952,49
2952,52
462,9270
3763,62
3947,53
3628,641
3628,602
3628,292
3628,347
3628,332
1964,6014
1964,7785
1964,7410
1964,8728
2389,62
3077,849
3458,1696
3964,1554
2281,368
4049,1398
4024,47
4024,1087
446,52
4029,564
4076,3613
3458,3176
3458,2662
151,793
457,27
457,23
457,21
457,24
457,18
457,2
2517,1639
4205,3
4221,21
4248,3132
4148,369
634,918
634,1038
950,8088
3509,1399
4337,2
3183,1540
2563,875
4341,241
4359,62
4248,9270
4248,7934
4158,591
4351,6541
4159,25
4159,27
4384,621
923,2381
923,1535
4409,245
923,480
923,368
923,62
3953,937
4420,3728
709,3444
4466,2456
4466,1583
4466,2270
4337,9461
4326,3613
4480,47
4502,27
3458,4092
3707,595
4196,3084
928,62
4398,25
3602,6756
3602,7655
3602,9152
4592,53
4379,1255
4373,8099
4373,8173
4373,7934
4373,3019
4373,2954
3502,18
3502,24
4294,3557
4294,3418
4294,1957
4294,77
4294,8745
4294,500
4049,8088
4273,2980
4273,1452
4273,2577
3692,591
4529,1155
4529,1298
4529,1554
4687,1255
4210,1175
4693,388
709,615
709,1789
709,73
4619,447
4252,480
4782,53
3340,2619
3340,2291
3340,1323
4647,8373
